Category ID	Category Name	Description	Parent ID	Parent Name	Default Location ID	Keywords	Category Path	Parts	structural
1022	Shock Absorbers, Dampers		2056	Pneumatics, Hydraulics	1		Industrial Automation and Controls/Pneumatics, Hydraulics/Shock Absorbers, Dampers	0	0
1021	Tubing, Hose, Piping		2056	Pneumatics, Hydraulics	1		Industrial Automation and Controls/Pneumatics, Hydraulics/Tubing, Hose, Piping	0	0
809	Valves and Control		2056	Pneumatics, Hydraulics	1		Industrial Automation and Controls/Pneumatics, Hydraulics/Valves and Control	0	0
810	Protection Relays & Systems		34	Industrial Automation and Controls	1		Industrial Automation and Controls/Protection Relays & Systems	0	0
2057	Robotics		34	Industrial Automation and Controls	1		Industrial Automation and Controls/Robotics	0	0
994	End Effectors		2057	Robotics	1		Industrial Automation and Controls/Robotics/End Effectors	0	0
995	Robotics Accessories		2057	Robotics	1		Industrial Automation and Controls/Robotics/Robotics Accessories	0	0
993	Robots		2057	Robotics	1		Industrial Automation and Controls/Robotics/Robots	0	0
1020	Signal Conditioners and Isolators		34	Industrial Automation and Controls	1		Industrial Automation and Controls/Signal Conditioners and Isolators	0	0
953	Stackable Tower Lighting, Beacons, and Components		34	Industrial Automation and Controls	1		Industrial Automation and Controls/Stackable Tower Lighting, Beacons, and Components	0	0
952	Time Delay Relays		34	Industrial Automation and Controls	1		Industrial Automation and Controls/Time Delay Relays	0	0
49	Industrial Supplies				1		Industrial Supplies	0	0
1076	Carts and Trucks		49	Industrial Supplies	1		Industrial Supplies/Carts and Trucks	0	0
2092	Dock and Warehouse		49	Industrial Supplies	1		Industrial Supplies/Dock and Warehouse	0	0
1099	Air Curtain Doors		2092	Dock and Warehouse	1		Industrial Supplies/Dock and Warehouse/Air Curtain Doors	0	0
1096	Dock Equipment		2092	Dock and Warehouse	1		Industrial Supplies/Dock and Warehouse/Dock Equipment	0	0
1078	Ladders, Steps, and Platforms		2092	Dock and Warehouse	1		Industrial Supplies/Dock and Warehouse/Ladders, Steps, and Platforms	0	0
1155	Mirrors		2092	Dock and Warehouse	1		Industrial Supplies/Dock and Warehouse/Mirrors	0	0
2093	Electrical		49	Industrial Supplies	1		Industrial Supplies/Electrical	0	0
1079	Cords, Wires and Accessories		2093	Electrical	1		Industrial Supplies/Electrical/Cords, Wires and Accessories	0	0
1080	Generators		2093	Electrical	1		Industrial Supplies/Electrical/Generators	0	0
1081	Lighting		2093	Electrical	1		Industrial Supplies/Electrical/Lighting	0	0
1082	Lighting Accessories		2093	Electrical	1		Industrial Supplies/Electrical/Lighting Accessories	0	0
2094	Fans		49	Industrial Supplies	1		Industrial Supplies/Fans	0	0
1100	Agricultural, Dock and Exhaust		2094	Fans	1		Industrial Supplies/Fans/Agricultural, Dock and Exhaust	0	0
1101	Blowers and Floor Dryers		2094	Fans	1		Industrial Supplies/Fans/Blowers and Floor Dryers	0	0
1103	Components and Accessories		2094	Fans	1		Industrial Supplies/Fans/Components and Accessories	0	0
1102	Components - Motors		2094	Fans	1		Industrial Supplies/Fans/Components - Motors	0	0
1104	Household, Office and Pedestal Fans		2094	Fans	1		Industrial Supplies/Fans/Household, Office and Pedestal Fans	0	0
2095	HVAC		49	Industrial Supplies	1		Industrial Supplies/HVAC	0	0
1105	Air Conditioners		2095	HVAC	1		Industrial Supplies/HVAC/Air Conditioners	0	0
1106	Air Filters		2095	HVAC	1		Industrial Supplies/HVAC/Air Filters	0	0
1107	Air Handlers, Furnaces		2095	HVAC	1		Industrial Supplies/HVAC/Air Handlers, Furnaces	0	0
1108	Air Purifiers, Dehumidifiers and Humidifiers		2095	HVAC	1		Industrial Supplies/HVAC/Air Purifiers, Dehumidifiers and Humidifiers	0	0
1109	Heaters		2095	HVAC	1		Industrial Supplies/HVAC/Heaters	0	0
1124	HVAC Parts and Accessories		2095	HVAC	1		Industrial Supplies/HVAC/HVAC Parts and Accessories	0	0
1110	Janitorial and Maintenance Products		49	Industrial Supplies	1		Industrial Supplies/Janitorial and Maintenance Products	0	0
2096	Maintenance		49	Industrial Supplies	1		Industrial Supplies/Maintenance	0	0
1083	Air Compressor Tools and Accessories		2096	Maintenance	1		Industrial Supplies/Maintenance/Air Compressor Tools and Accessories	0	0
1085	Magnets		2096	Maintenance	1		Industrial Supplies/Maintenance/Magnets	0	0
1086	Mats		2096	Maintenance	1		Industrial Supplies/Maintenance/Mats	0	0
2097	Office Equipment		49	Industrial Supplies	1		Industrial Supplies/Office Equipment	0	0
1126	File Cabinets, Bookcases		2097	Office Equipment	1		Industrial Supplies/Office Equipment/File Cabinets, Bookcases	0	0
1127	Food Storage and Preparation		2097	Office Equipment	1		Industrial Supplies/Office Equipment/Food Storage and Preparation	0	0
1128	Office Supplies		2097	Office Equipment	1		Industrial Supplies/Office Equipment/Office Supplies	0	0
